PID,AGE,SQ,Nor_AGE,Nor_SQ,Gender,Type
361,47,17,0.67,0.25,1,0
362,47,17,0.67,0.25,1,0
363,47,19,0.67,0.28,1,0
364,47,8,0.67,0.1,1,0
365,47,13,0.67,0.18,1,0
366,47,13,0.67,0.18,1,0
367,47,10,0.67,0.13,1,0
368,47,20,0.67,0.3,1,0
369,47,18,0.67,0.27,1,0
370,47,13,0.67,0.18,1,0
371,47,15,0.67,0.22,1,0
372,47,23,0.67,0.35,1,0
373,47,14,0.67,0.2,1,0
374,47,23,0.67,0.35,1,0
375,47,14,0.67,0.2,1,0
376,47,5,0.67,0.05,1,0
377,47,19,0.67,0.28,1,0
378,47,19,0.67,0.28,1,0
379,47,21,0.67,0.32,1,0
380,47,15,0.67,0.22,1,0
381,47,14,0.67,0.2,1,0
382,47,17,0.67,0.25,1,0
383,47,13,0.67,0.18,1,0
384,47,8,0.67,0.1,1,0
385,47,17,0.67,0.25,1,0
386,47,19,0.67,0.28,1,0
387,47,18,0.67,0.27,1,0
388,47,13,0.67,0.18,1,0
389,47,13,0.67,0.18,1,0
390,47,14,0.67,0.2,1,0
391,47,17,0.67,0.25,1,0
392,47,14,0.67,0.2,1,0
393,47,20,0.67,0.3,1,0
394,47,22,0.67,0.33,1,0
395,47,18,0.67,0.27,1,0
396,47,17,0.67,0.25,1,0
397,47,16,0.67,0.23,1,0
398,47,17,0.67,0.25,1,0
399,47,16,0.67,0.23,1,0
400,47,13,0.67,0.18,1,0
401,41,17,0.5,0.25,1,1
402,41,30,0.5,0.47,1,1
403,41,28,0.5,0.43,1,1
404,41,38,0.5,0.6,1,1
405,41,31,0.5,0.48,1,1
406,41,22,0.5,0.33,1,1
407,41,40,0.5,0.63,1,1
408,41,20,0.5,0.3,1,1
409,41,29,0.5,0.45,1,1
410,41,25,0.5,0.38,1,1
411,41,26,0.5,0.4,1,1
412,41,25,0.5,0.38,1,1
413,41,23,0.5,0.35,1,1
414,41,20,0.5,0.3,1,1
415,41,41,0.5,0.65,1,1
416,41,17,0.5,0.25,1,1
417,41,22,0.5,0.33,1,1
418,41,20,0.5,0.3,1,1
419,41,37,0.5,0.58,1,1
420,41,20,0.5,0.3,1,1
421,41,23,0.5,0.35,1,1
422,41,30,0.5,0.47,1,1
423,41,22,0.5,0.33,1,1
424,41,20,0.5,0.3,1,1
425,41,19,0.5,0.28,1,1
426,41,22,0.5,0.33,1,1
427,41,21,0.5,0.32,1,1
428,41,23,0.5,0.35,1,1
429,41,17,0.5,0.25,1,1
430,41,20,0.5,0.3,1,1
431,41,21,0.5,0.32,1,1
432,41,23,0.5,0.35,1,1
433,41,12,0.5,0.17,1,1
434,41,36,0.5,0.57,1,1
435,41,22,0.5,0.33,1,1
436,41,23,0.5,0.35,1,1
437,41,19,0.5,0.28,1,1
438,41,25,0.5,0.38,1,1
439,41,17,0.5,0.25,1,1
440,41,21,0.5,0.32,1,1
441,45,18,0.61,0.27,1,1
442,45,24,0.61,0.37,1,1
443,45,30,0.61,0.47,1,1
444,45,27,0.61,0.42,1,1
445,45,25,0.61,0.38,1,1
446,45,23,0.61,0.35,1,1
447,45,29,0.61,0.45,1,1
448,45,16,0.61,0.23,1,1
449,45,27,0.61,0.42,1,1
450,45,20,0.61,0.3,1,1
451,45,26,0.61,0.4,1,1
452,45,25,0.61,0.38,1,1
453,45,23,0.61,0.35,1,1
454,45,22,0.61,0.33,1,1
455,45,20,0.61,0.3,1,1
456,45,19,0.61,0.28,1,1
457,45,21,0.61,0.32,1,1
458,45,22,0.61,0.33,1,1
459,45,24,0.61,0.37,1,1
460,45,26,0.61,0.4,1,1
461,45,24,0.61,0.37,1,1
462,45,32,0.61,0.5,1,1
463,45,28,0.61,0.43,1,1
464,45,23,0.61,0.35,1,1
465,45,19,0.61,0.28,1,1
466,45,29,0.61,0.45,1,1
467,45,26,0.61,0.4,1,1
468,45,23,0.61,0.35,1,1
469,45,22,0.61,0.33,1,1
470,45,24,0.61,0.37,1,1
471,45,21,0.61,0.32,1,1
472,45,19,0.61,0.28,1,1
473,45,20,0.61,0.3,1,1
474,45,19,0.61,0.28,1,1
475,45,22,0.61,0.33,1,1
476,45,21,0.61,0.32,1,1
477,45,29,0.61,0.45,1,1
478,45,27,0.61,0.42,1,1
479,45,26,0.61,0.4,1,1
480,45,30,0.61,0.47,1,1
481,52,15,0.81,0.22,1,0
482,52,17,0.81,0.25,1,0
483,52,15,0.81,0.22,1,0
484,52,14,0.81,0.2,1,0
485,52,12,0.81,0.17,1,0
486,52,15,0.81,0.22,1,0
487,52,18,0.81,0.27,1,0
488,52,13,0.81,0.18,1,0
489,52,14,0.81,0.2,1,0
490,52,9,0.81,0.12,1,0
491,52,17,0.81,0.25,1,0
492,52,15,0.81,0.22,1,0
493,52,17,0.81,0.25,1,0
494,52,16,0.81,0.23,1,0
495,52,16,0.81,0.23,1,0
496,52,19,0.81,0.28,1,0
497,52,14,0.81,0.2,1,0
498,52,12,0.81,0.17,1,0
499,52,11,0.81,0.15,1,0
500,52,17,0.81,0.25,1,0
501,52,15,0.81,0.22,1,0
502,52,14,0.81,0.2,1,0
503,52,16,0.81,0.23,1,0
504,52,21,0.81,0.32,1,0
505,52,14,0.81,0.2,1,0
506,52,16,0.81,0.23,1,0
507,52,15,0.81,0.22,1,0
508,52,15,0.81,0.22,1,0
509,52,13,0.81,0.18,1,0
510,52,14,0.81,0.2,1,0
511,52,18,0.81,0.27,1,0
512,52,8,0.81,0.1,1,0
513,52,13,0.81,0.18,1,0
514,52,14,0.81,0.2,1,0
515,52,13,0.81,0.18,1,0
516,52,15,0.81,0.22,1,0
517,52,15,0.81,0.22,1,0
518,52,14,0.81,0.2,1,0
519,52,19,0.81,0.28,1,0
520,52,13,0.81,0.18,1,0
521,50,17,0.75,0.25,1,0
522,50,15,0.75,0.22,1,0
523,50,12,0.75,0.17,1,0
524,50,14,0.75,0.2,1,0
525,50,12,0.75,0.17,1,0
526,50,15,0.75,0.22,1,0
527,50,18,0.75,0.27,1,0
528,50,12,0.75,0.17,1,0
529,50,13,0.75,0.18,1,0
530,50,13,0.75,0.18,1,0
531,50,9,0.75,0.12,1,0
532,50,15,0.75,0.22,1,0
533,50,14,0.75,0.2,1,0
534,50,15,0.75,0.22,1,0
535,50,16,0.75,0.23,1,0
536,50,14,0.75,0.2,1,0
537,50,11,0.75,0.15,1,0
538,50,14,0.75,0.2,1,0
539,50,20,0.75,0.3,1,0
540,50,14,0.75,0.2,1,0
541,50,17,0.75,0.25,1,0
542,50,14,0.75,0.2,1,0
543,50,14,0.75,0.2,1,0
544,50,15,0.75,0.22,1,0
545,50,12,0.75,0.17,1,0
546,50,11,0.75,0.15,1,0
547,50,13,0.75,0.18,1,0
548,50,12,0.75,0.17,1,0
549,50,14,0.75,0.2,1,0
550,50,15,0.75,0.22,1,0
551,50,11,0.75,0.15,1,0
552,50,19,0.75,0.28,1,0
553,50,14,0.75,0.2,1,0
554,50,15,0.75,0.22,1,0
555,50,15,0.75,0.22,1,0
